TBLASTN 2.2.29+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: Cnidarians
           59,203 sequences; 3,418,506,885 total letters



Query= AAB47805.1 ankyrin [Homo sapiens]

Length=1856
                                                                      Score     E
  NW_018149896.1 Orbicella faveolata isolate FL unplaced genomic ...  61.2    8e-07 
  afen_scaffold_32                                                    61.2    8e-07 
  NW_018148839.1 Orbicella faveolata isolate FL unplaced genomic ...  61.2    9e-07 
  SczhEnG_3251                                                        60.8    9e-07 
  LJWW01000015.1 Exaiptasia pallida isolate CC7 scaffold15, whole...  60.8    9e-07 
  adi_Scaffold1970                                                    60.8    9e-07 
  LJWW01000314.1 Exaiptasia pallida isolate CC7 scaffold315, whol...  60.8    1e-06 
  adi_Scaffold251                                                     60.8    1e-06 
  LJWW01000338.1 Exaiptasia pallida isolate CC7 scaffold339, whol...  60.5    1e-06 
  scaffold_120                                                        60.5    1e-06 
  NW_004169626.1 Hydra vulgaris strain 105 unplaced genomic scaff...  60.5    1e-06 
  adi_Scaffold352                                                     60.5    1e-06 
  adi_Scaffold515                                                     60.5    1e-06 
  scaffold_175                                                        60.5    1e-06 
  NW_018150297.1 Orbicella faveolata isolate FL unplaced genomic ...  60.5    1e-06 
  NW_018148947.1 Orbicella faveolata isolate FL unplaced genomic ...  60.5    1e-06 
  NW_004171216.1 Hydra vulgaris strain 105 unplaced genomic scaff...  60.5    1e-06 
  dspp_scaffold_994                                                   60.5    1e-06 
  dspp_scaffold_240                                                   60.1    2e-06 
  scaffold_4                                                          60.1    2e-06 
  NW_018149773.1 Orbicella faveolata isolate FL unplaced genomic ...  60.1    2e-06 
  NW_018149002.1 Orbicella faveolata isolate FL unplaced genomic ...  60.1    2e-06 
  scaffold_211                                                        60.1    2e-06 
  afen_scaffold_255                                                   60.1    2e-06 
  LJWW01000074.1 Exaiptasia pallida isolate CC7 scaffold74, whole...  59.7    2e-06 
  adi_Scaffold1453                                                    59.7    2e-06 
  adi_Scaffold650                                                     59.7    2e-06 
  dspp_scaffold_232                                                   59.7    2e-06 
  dspp_scaffold_22                                                    59.3    3e-06 
  dspp_scaffold_528                                                   59.3    3e-06 
  adi_Scaffold159                                                     59.3    3e-06 
  NW_018149068.1 Orbicella faveolata isolate FL unplaced genomic ...  59.3    3e-06 
  dspp_scaffold_241                                                   59.3    3e-06 
  NW_004167585.1 Hydra vulgaris strain 105 unplaced genomic scaff...  59.3    3e-06 
  dspp_scaffold_181                                                   59.3    3e-06 
  adi_Scaffold896                                                     59.3    3e-06 
  afen_scaffold_79                                                    59.3    3e-06 
  afen_scaffold_87                                                    59.3    3e-06 
  dspp_scaffold_9                                                     59.3    3e-06 
  NW_004168104.1 Hydra vulgaris strain 105 unplaced genomic scaff...  58.5    4e-06 
  SczhEnG_2844                                                        58.5    5e-06 
  adi_Scaffold307                                                     58.5    5e-06 
  NW_018149333.1 Orbicella faveolata isolate FL unplaced genomic ...  58.5    5e-06 
  scaffold_1261                                                       58.5    5e-06 
  NW_004169542.1 Hydra vulgaris strain 105 unplaced genomic scaff...  58.2    6e-06 
  SczhEnG_1016                                                        58.2    6e-06 
  NW_004166986.1 Hydra vulgaris strain 105 unplaced genomic scaff...  58.2    6e-06 
  dspp_scaffold_31                                                    58.2    6e-06 
  LJWW01000281.1 Exaiptasia pallida isolate CC7 scaffold282, whol...  40.4    6e-06 
  adi_Scaffold1386                                                    58.2    6e-06 
  NW_004171794.1 Hydra vulgaris strain 105 unplaced genomic scaff...  58.2    6e-06 
  SczhEnG_247                                                         58.2    7e-06 
  SczhEnG_862                                                         58.2    7e-06 
  scaffold_268                                                        58.2    7e-06 
  LJWW01000137.1 Exaiptasia pallida isolate CC7 scaffold137, whol...  57.8    7e-06 
  NW_004167004.1 Hydra vulgaris strain 105 unplaced genomic scaff...  57.8    7e-06 
  dspp_scaffold_221                                                   57.8    8e-06 
  NW_004173918.1 Hydra vulgaris strain 105 unplaced genomic scaff...  57.8    8e-06 
  NW_018150072.1 Orbicella faveolata isolate FL unplaced genomic ...  57.8    8e-06 
  NW_018149707.1 Orbicella faveolata isolate FL unplaced genomic ...  57.8    8e-06 
  adi_Scaffold2529                                                    57.8    9e-06 
  adi_Scaffold389                                                     57.8    9e-06 
  NW_018149840.1 Orbicella faveolata isolate FL unplaced genomic ...  57.8    9e-06 
  afen_scaffold_75                                                    57.4    1e-05 
  LJWW01000042.1 Exaiptasia pallida isolate CC7 scaffold42, whole...  57.4    1e-05 
  scaffold_157                                                        57.4    1e-05 



Lambda      K        H
   0.315    0.131    0.378 

Gapped
Lambda      K        H
   0.267   0.0410    0.140 

Effective search space used: 1931304348708


Query= NP_001612.1 aryl hydrocarbon receptor [Homo sapiens]

Length=848
                                                                      Score     E
Sequences producing significant alignments:                          (Bits)  Value

  LJWW01001447.1 Exaiptasia pallida isolate CC7 scaffold1473, who...  97.4    2e-18
  dspp_scaffold_20                                                    70.1    6e-10
  scaffold_12                                                         69.7    7e-10
  NW_018148921.1 Orbicella faveolata isolate FL unplaced genomic ...  68.6    2e-09
  adi_Scaffold413                                                     67.8    3e-09
  afen_scaffold_219                                                   67.0    5e-09
  LJWW01000070.1 Exaiptasia pallida isolate CC7 scaffold70, whole...  65.9    1e-08
  scaffold_274                                                        65.1    2e-08
  NW_018149382.1 Orbicella faveolata isolate FL unplaced genomic ...  64.7    2e-08
  dspp_scaffold_89                                                    64.7    3e-08
  SczhEnG_417                                                         64.3    3e-08
  afen_scaffold_49                                                    63.9    4e-08
  adi_Scaffold41                                                      63.9    4e-08
  scaffold_35                                                         63.9    4e-08
  NW_018149449.1 Orbicella faveolata isolate FL unplaced genomic ...  63.9    4e-08
  SczhEnG_3409                                                        63.9    4e-08
  afen_scaffold_6                                                     63.9    5e-08
  dspp_scaffold_290                                                   63.2    7e-08
  LJWW01000439.1 Exaiptasia pallida isolate CC7 scaffold440, whol...  63.2    8e-08
  LJWW01000166.1 Exaiptasia pallida isolate CC7 scaffold166, whol...  63.2    8e-08
  scaffold_3829                                                       61.2    3e-07
  adi_Scaffold58                                                      60.5    5e-07
  NW_004168920.1 Hydra vulgaris strain 105 unplaced genomic scaff...  58.2    2e-06
  SczhEnG_2066                                                        51.6    2e-04
